,state,district,year,dyid,nitrate,sdp,outlier,gini
325,GJ,amreli,2002,Amreli2002,43.68182,282634,0,0.19
327,GJ,amreli,2004,Amreli2004,93.6875,305098,0,0.19
328,GJ,amreli,2005,Amreli2005,102.60714,349385,0,0.19
329,GJ,amreli,2006,Amreli2006,94.152382,378934,0,0.19
330,GJ,amreli,2007,Amreli2007,87.0,423741,0,0.19
331,GJ,amreli,2008,Amreli2008,83.108109,441854,0,0.19
332,GJ,amreli,2009,Amreli2009,71.974358,504289,0,0.19
333,GJ,amreli,2010,Amreli2010,91.827583,559476,0,0.19
334,GJ,amreli,2011,Amreli2011,86.605263,532809,0,0.19
335,GJ,amreli,2012,Amreli2012,101.12904,596659,0,0.19
336,GJ,amreli,2013,Amreli2013,70.730766,641489,0,0.19
337,GJ,amreli,2014,Amreli2014,72.457146,705629,0,0.19
338,GJ,amreli,2015,Amreli2015,61.560974,774775,0,0.19
339,GJ,amreli,2016,Amreli2016,70.605263,843930,0,0.19
340,GJ,amreli,2017,Amreli2017,72.121948,946511,0,0.19
341,GJ,amreli,2018,Amreli2018,52.200001,1034399,0,0.19
342,PB,amritsar,2000,Amritsar2000,17.08,144508,0,0.3
343,PB,amritsar,2001,Amritsar2001,0.0,146390,0,0.3
344,PB,amritsar,2002,Amritsar2002,32.099998,148885,0,0.3
346,PB,amritsar,2004,Amritsar2004,7.79,158285,0,0.3
347,PB,amritsar,2005,Amritsar2005,1.74,166046,0,0.3
348,PB,amritsar,2006,Amritsar2006,5.1999998,183954,0,0.3
349,PB,amritsar,2007,Amritsar2007,40.157143,199884,0,0.3
350,PB,amritsar,2008,Amritsar2008,30.35,210965,0,0.3
351,PB,amritsar,2009,Amritsar2009,55.5,224441,0,0.3
352,PB,amritsar,2010,Amritsar2010,25.483334,238938,0,0.3
353,PB,amritsar,2011,Amritsar2011,11.4,239227,0,0.3
354,PB,amritsar,2012,Amritsar2012,25.577778,251813,0,0.3
355,PB,amritsar,2013,Amritsar2013,21.688889,267515,0,0.3
356,PB,amritsar,2014,Amritsar2014,52.037777,278485,0,0.3
357,PB,amritsar,2015,Amritsar2015,25.522223,294895,0,0.3
358,PB,amritsar,2016,Amritsar2016,27.555555,315783,0,0.3
